Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
1,13,"C1, C2, C3, C4, C5, C6, C7, C8, C9, C17, C18, C19, C20",0.1uF,Device:C_Small,C_1608:C0603C104Z3VACTU,C0603C104Z3VACTU
2,2,"C10, C13",0.1uF,Device:C_Small,C:0.1uf-bypass,C0603C104Z3VACTU
3,2,"C11, C14",100nF,Device:C_Small,C:C-2.54,~
4,1,C12,0.0022uF,Device:C_Small,C:C-2.54,~
5,2,"C15, C16",10uf,Device:CP1_Small,C:10uF-16v,~
6,1,CN1,9V-Battery,cn_connectors:2PIN,XH_connector:XH-2pins,XH-2pins
7,1,CN2,9V-Adapter,cp1_small:MJ-179P,mj-179p:MJ179P,MJ179P
8,1,CN3,jumper,jumper:jumper_,cn_connector:jumper,
9,3,"D1, D2, D3",1N4005,diode:diode,Diode_custom:1DS4,1N4005
10,3,"IC1, IC2, IC3",74HC161AP,74HC161AP:74HC161AP,74HC161AP:74HC161AP,74HC161AP
11,3,"IC4, IC5, IC6",TC4511BP,TC4511BP:TC4511BP,74HC161AP:74HC161AP,TC4511BP
12,3,"IC7, IC8, IC9",TBD62003APG,TBD62003APG:TBD62003APG,74HC161AP:74HC161AP,TBD62003APG
13,2,"IC10, IC11",74HC08,74HC08:74HC08,74HC04:74HC04,74HC08
14,2,"IC12, IC13",74HC04,74HC04:7404,74HC04:74HC04,74HC04
15,1,LED1,LED,LED_:LED,C_1608:C1608C0G1H682J,OSYG1608C1A
16,3,"LED2, LED3, LED4",SA39-129RWB,hr-sc04_FullLogic_decimal-cache:Display_Character_HDSP-7401,7segsLED_SA39-129RWB:SA39-129RWB,SA39-129RWB
17,2,"R1, R6",10M,Device:R,R:R,~
18,3,"R2, R5, R7",330,Device:R,R:R,~
19,1,R3,5k,Device:R_Variable,VariableResistor:CT-6P,~
20,1,R4,15K,Device:R,R:R,~
21,21,"R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R23, R24, R25, R26, R27, R28, R29",1k,Device:R,C_1608:C_1220,RR1220P-102-D
22,1,R22,470,Device:R,C_1608:C1608C0G1H682J,RC0603J-470R
23,1,SW1,SW,SW:SW,sw:SS-12D01G3,SS-12D01G3
24,3,"Timer1, Timer2, Timer3",NE555,NE555:NE555,NE555:DIP794W45P254L1060H508Q8,NE555
25,1,U1,HC-SR04,HC-SR04:HC-SR04,HR-SC04:HCSR04,HC-SR04
26,1,U2,NJM78M05FA,NJM78M05FA:NJM78M05FA,NJM78M05FA:NJM78M05FA,NJM78M05FA
